x [mm];y [mm];x-displacement [mm];y-displacement [mm];Transverse strain Exx - GL [S];Axial strain Eyy - GL [S];Shear strain Exy - GL [S];Maximum normal strain - GL [S];Minimum normal strain - GL [S];Affine transformation a [];Affine transformation b [];Affine transformation c [];Affine transformation d [];Confidence region [pixel];Correlation value [count];Enough pixels valid [];Number of iterations [];Vector status []
31.5305;1641.06;1.00888;-6.22418;0.00298805;-0.00748768;0.00014048;0.00298994;-0.00748956;0.996776;0.0151872;-0.0100218;0.990214;0.0355516;0.970134;1;3;1
54.5305;1641.06;1.07666;-6.02676;-0.00129901;-0.00611711;0.0032418;0.000330845;-0.00774697;1.00366;-0.00116768;-0.00899241;0.98608;0.0409332;0.970251;1;3;1
77.5306;1641.06;0.946797;-5.76538;-0.0035098;-0.00190509;0.0034308;0.00081593;-0.00623082;0.995225;0.00164429;-0.0100362;0.992763;0.0344819;0.977181;1;3;1
100.531;1641.06;0.91156;-5.47135;-0.00455211;0.0018579;0.00642353;0.0058316;-0.00852581;0.998527;0.00564453;-0.0113471;1.00575;0.0352331;0.976627;1;3;1
123.531;1641.06;0.734671;-5.31137;-0.00889136;-0.00149497;-0.00143182;-0.00122747;-0.00915886;0.994902;0.0116223;0.00101134;0.995914;0.0358775;0.978564;1;3;1
146.531;1641.06;0.500232;-5.2598;-0.00342541;-0.00369948;-0.00431477;0.000754503;-0.00787939;0.987173;0.0177019;-0.0217435;0.99812;0.0461239;0.956505;1;4;1
169.531;1641.06;0.575424;-4.95217;0.000466165;-0.00149886;0.00115814;0.00100241;-0.0020351;1.00623;0.0115969;-0.00602932;1.00098;0.0326574;0.984013;1;3;1
192.531;1641.06;0.519118;-4.77514;0.00153684;-0.0010735;-0.00284086;0.003358;-0.00289466;0.994053;0.0160351;-0.0076754;0.995026;0.0325593;0.987012;1;3;1
215.531;1641.06;0.644527;-4.57578;-0.00115889;-0.000687466;0.00270546;0.00179253;-0.00363889;0.992576;-6.25382e-05;-0.00250068;0.999138;0.0308813;0.989504;1;3;1
238.531;1641.06;0.464394;-4.41853;-0.00390045;0.000851084;-0.000145101;0.000855511;-0.00390487;0.999625;0.0125736;-0.0170992;1.00146;0.0302814;0.979854;1;3;1
261.531;1641.06;0.462654;-4.137;-0.00153747;-0.000228927;0.0027956;0.00198794;-0.00375434;1.00415;0.00783303;-0.0115544;0.999591;0.0286683;0.985998;1;3;1
284.531;1641.06;0.390994;-3.92772;-0.0030627;0.000163739;0.00069377;0.000306592;-0.00320556;0.991997;0.00312274;-0.00701005;0.998505;0.0272736;0.98543;1;4;1
307.531;1641.06;0.320705;-3.85808;-0.000765323;-0.00541376;2.49615e-06;-0.000765321;-0.00541376;0.9977;0.00461977;-0.0084808;0.986348;0.0358504;0.965841;1;2;1
330.531;1641.06;0.353723;-3.49339;-0.000964515;0.00125615;0.00124051;0.00181066;-0.00151903;1.00147;0.015809;-0.00543308;1.00721;0.0290573;0.990421;1;3;1
353.531;1641.06;0.274171;-3.41405;-0.00203533;-0.00330785;6.73022e-05;-0.00203178;-0.0033114;1.00072;0.00771852;-0.00513546;0.993051;0.0407319;0.976012;1;3;1
376.531;1641.06;0.25875;-3.15426;-0.000628448;1.35923e-05;0.00264002;0.00235204;-0.00296689;0.998045;0.00967123;-0.017002;1.00153;0.0322208;0.982497;1;4;1
399.531;1641.06;0.242569;-2.91729;-0.00139463;0.00245386;0.00113256;0.00276242;-0.00170318;0.99988;0.00967103;-0.0106745;1.01102;0.0254004;0.989718;1;3;1
422.531;1641.06;0.192306;-2.70001;-0.00228441;0.000334447;-0.000919599;0.000625101;-0.00257506;0.989784;0.00660494;-0.0100909;1.00299;0.0258255;0.990196;1;4;1
445.531;1641.06;0.135811;-2.53954;-0.0010059;-0.00120643;-0.000525512;-0.00057117;-0.00164115;1.0024;0.00852976;-0.00462134;1.00402;0.0235739;0.993096;1;3;1
468.531;1641.06;0.144823;-2.36941;0.000182287;-0.00141902;0.000192876;0.000205191;-0.00144193;0.998836;0.00896712;-0.00749719;0.996655;0.0252184;0.989945;1;2;1
491.531;1641.06;0.14279;-2.17986;-0.00317919;-0.00345024;0.00562487;0.00231178;-0.00894121;0.997308;0.000892269;-0.00928861;0.989389;0.0293966;0.985064;1;3;1
514.531;1641.06;-0.00653772;-1.70015;-0.00251116;0.00720361;0.000850354;0.00727749;-0.00258503;0.996332;0.0200329;-0.00384355;1.00627;0.0316688;0.986342;1;3;1
537.531;1641.06;0.0242471;-1.66545;0.00217463;0.000895012;-0.00218463;0.00381122;-0.000741576;1.00733;0.0124309;-0.007567;0.997991;0.0329961;0.979429;1;4;1
560.531;1641.06;0.0931255;-1.54494;-0.000391551;-0.00354183;0.000507268;-0.000311883;-0.00362149;0.9941;-0.00540291;-0.00760602;0.996436;0.0298651;0.980871;1;4;1
583.531;1641.06;0.00554851;-1.4147;-0.00296487;-0.00501299;0.001356;-0.00228969;-0.00568817;1.00395;0.00602846;-0.0147684;0.988804;0.0322271;0.975922;1;3;1
606.531;1641.06;-0.0458213;-1.07969;-0.000457666;-0.00110182;0.00255025;0.00179076;-0.00335025;1.00201;0.0176841;-0.012919;0.990756;0.0305526;0.983916;1;3;1
629.531;1641.06;-0.0200097;-0.771383;0.0023622;0.000630123;0.00310955;0.00472406;-0.00173174;1.00146;0.00520504;-0.0101029;1.00343;0.0303389;0.980688;1;3;1
652.531;1641.06;0.0593475;-0.522714;-0.00166631;0.00424684;-0.000700379;0.00432866;-0.00174814;0.999716;0.00581588;-0.0133608;1.00826;0.0317888;0.986856;1;3;1
675.531;1641.06;-0.0969913;-0.614713;-0.00408795;-0.0100074;-0.00123782;-0.00383953;-0.0102558;1.00253;0.0217049;-0.00544671;0.974652;0.0335704;0.984441;1;4;1
698.531;1641.06;-0.13065;-0.143858;0.00176224;0.0027365;-0.000235618;0.00279049;0.00170825;0.999371;0.0133767;-0.0206435;0.999202;0.0341369;0.984542;1;4;1
721.531;1641.06;-0.0183466;-0.149644;0.00254546;-0.0029954;0.000613755;0.00261263;-0.00306257;0.998354;0.00680863;-0.00630237;0.984847;0.0346102;0.980447;1;3;1
744.531;1641.06;-0.0152821;0.237192;0.000521144;0.00272058;0.00146162;0.00344999;-0.000208265;0.995654;0.00785965;-0.00653408;1.00368;0.0278014;0.98625;1;3;1
767.531;1641.06;0.00222556;0.409295;-0.000523169;0.0027138;0.00211429;0.00375796;-0.00156734;1.00135;0.0071492;-0.0110225;0.995439;0.0266764;0.988771;1;3;1
790.531;1641.06;-0.042138;0.743132;0.00156846;0.00922965;-6.00954e-05;0.00923012;0.00156799;1.00127;0.00699913;-0.0102513;1.0113;0.0443238;0.974966;1;4;1
813.531;1641.06;0.0727953;0.783893;0.00196377;-0.00217189;0.0028633;0.00342785;-0.00363597;1.00534;0.00336243;-0.0119831;0.988499;0.0365638;0.972578;1;4;1
836.531;1641.06;0.0466126;1.11426;0.000652765;0.0028844;0.00113491;0.00336014;0.000177018;0.99547;0.00580092;-0.0085974;1.00376;0.0327624;0.971821;1;3;1
859.531;1641.06;0.100967;1.19609;-0.00308746;-0.00187769;0.00335788;0.000929347;-0.0058945;0.99776;-0.000368837;-0.00400275;1.00119;0.0347812;0.983871;1;3;1
882.531;1641.06;-0.0979051;1.57101;0.000412336;0.00771594;-0.00311705;0.00886535;-0.000737078;1.00443;0.0312378;-0.0128408;1.0163;0.0407396;0.966082;1;5;1
905.531;1641.06;0.118807;1.51774;0.00401584;-0.00730866;0.00213563;0.0044052;-0.00769803;1.00456;0.00478752;-0.0135794;0.984508;0.0340536;0.978751;1;4;1
928.531;1641.06;0.0845822;1.98682;-0.000878294;0.0106867;4.63036e-05;0.0106869;-0.000878479;0.992618;0.00918318;-0.00790332;1.02165;0.0449196;0.957543;1;4;1
951.531;1641.06;0.0742879;2.13158;0.0052496;0.00428174;-0.00673515;0.0115182;-0.00198685;1.01338;0.0113582;0.000256992;1.01146;0.0401965;0.960816;1;5;1
974.531;1641.06;0.325429;1.96839;0.00144052;-0.0133217;0.000483359;0.00145633;-0.0133375;0.999825;-0.0124741;-0.0169051;0.964242;0.0469039;0.960084;1;4;1
997.531;1641.06;0.138339;2.57825;-0.00165005;0.00514253;0.00351311;0.00663262;-0.00314014;1.00515;0.0208189;-0.0139064;1.02448;0.0397457;0.97013;1;5;1
1020.53;1641.06;0.242097;2.79098;0.00247375;0.00328488;0.00433284;0.00723109;-0.00147246;0.998586;0.00449928;-0.0177519;1.01278;0.0435888;0.961756;1;3;1
1043.53;1641.06;0.247908;3.19185;-0.00495944;0.0138573;-0.00131327;0.0139485;-0.00505065;1.00326;0.00399052;0.005168;1.02298;0.0420461;0.971532;1;4;1
1066.53;1641.06;0.0133159;2.87553;-0.000183508;-0.00878145;-0.00957469;0.00601303;-0.014978;1.00478;0.02048;-0.0156173;0.984866;0.0333451;0.977969;1;5;1
1089.53;1641.06;0.239331;3.08032;0.00138713;-0.00842772;0.00486537;0.00339018;-0.0104308;1.00384;-0.00639888;-0.0128522;0.987035;0.0353873;0.974446;1;4;1
1112.53;1641.06;0.0705649;3.65022;-0.00365671;0.00487533;-0.00534865;0.00745087;-0.00623225;0.995492;0.0172545;-0.0192692;1.00519;0.0395045;0.979302;1;4;1
1135.53;1641.06;0.0697915;3.38642;0.000364183;-0.0138007;-0.00679588;0.00309729;-0.0165338;0.995239;0.018236;-0.00862486;0.958625;0.0476052;0.958134;1;8;1
1158.53;1641.06;0.0873078;3.67461;0.0024928;-0.0073274;-0.00170583;0.00278067;-0.00761527;1.00839;0.0197484;-0.0105236;0.983207;0.0335697;0.975856;1;3;1
1181.53;1641.06;0.181515;3.8948;0.00209082;-0.00792608;-8.40563e-05;0.00209153;-0.00792678;0.997317;0.0117575;-0.00616127;0.979954;0.0361246;0.965801;1;4;1
