run,trans_u1_mean,trans_u1_std,trans_u1_pct20,uniax_u1_mean,uniax_u1_std,uniax_u1_pct20,shear_u1_mean,shear_u1_std,shear_u1_pct20,point_u1_mean,point_u1_std,point_u1_pct20,trans_u2_mean,trans_u2_std,trans_u2_pct20,uniax_u2_mean,uniax_u2_std,uniax_u2_pct20,shear_u2_mean,shear_u2_std,shear_u2_pct20,point_u2_mean,point_u2_std,point_u2_pct20
1,-2.28,1.17,0.00,-2.05,5.86,2.07,-1.07,9.27,0.92,-34.42,14.16,81.37,-0.00,0.03,0.00,-3.53,6.93,2.95,-0.21,10.50,0.81,-32.54,10.75,85.92
2,-2.29,1.12,0.00,-1.87,5.23,1.83,-0.92,7.27,0.74,-32.45,14.68,75.61,0.00,0.03,0.00,-3.43,6.63,2.48,0.21,7.55,0.80,-30.79,15.20,82.23
3,-2.40,1.11,0.00,-1.79,4.81,1.41,-1.17,9.88,0.71,-34.04,38.54,80.32,0.00,0.03,0.00,-3.48,6.51,2.45,-0.07,8.64,0.79,-32.40,14.08,84.63
4,-2.02,1.00,0.00,-1.72,4.89,1.30,-1.00,10.18,0.95,-34.97,10.62,83.30,-0.00,0.03,0.00,-3.58,6.84,2.68,-0.43,11.72,0.94,-31.53,9.15,82.35
5,-2.15,1.12,0.00,-1.90,5.58,2.21,-0.89,8.41,0.85,-35.14,20.45,82.38,0.00,0.03,0.00,-3.42,6.71,2.83,-0.10,10.41,0.62,-34.11,29.92,86.76
6,-2.18,1.10,0.00,-1.94,5.35,1.80,-0.79,8.13,0.78,-35.32,16.03,80.76,0.00,0.03,0.00,-3.18,6.46,2.44,-0.18,9.77,0.72,-33.65,18.53,85.30
7,-2.07,1.02,0.00,-1.65,4.79,1.39,-0.76,8.89,0.65,-34.74,15.56,81.30,0.00,0.03,0.00,-3.19,6.13,2.24,-0.15,9.61,0.89,-33.20,11.12,85.12
8,-1.92,0.94,0.00,-1.37,4.34,1.20,-0.52,8.59,0.51,-33.97,12.28,85.24,0.00,0.03,0.00,-3.14,6.71,2.29,0.30,6.99,0.71,-33.52,24.49,87.81
9,-1.92,0.94,0.00,-1.37,4.34,1.20,-0.52,8.59,0.51,-33.97,12.28,85.24,0.00,0.03,0.00,-3.14,6.71,2.29,0.30,6.99,0.71,-33.52,24.49,87.81
10,-1.96,0.94,0.00,-1.45,4.49,1.20,-0.56,6.81,0.54,-34.26,12.57,81.96,0.00,0.03,0.00,-3.36,6.38,2.35,0.28,6.31,0.54,-33.19,9.72,85.56
