x [pixel];y [pixel];x-displacement [pixel];y-displacement [pixel];Displacement [pixel];Transverse strain Exx - GL [S];Axial strain Eyy - GL [S];Shear strain Exy - GL [S]
655;678;0.335039;-46.8181;46.8193;-0.0233142;0.0780391;0.0209159
678;678;-0.217287;-47.478;47.4785;-0.0154922;0.0593763;0.0249711
701;678;-0.390262;-47.6173;47.6189;-0.0055833;0.0435611;0.0256044
724;678;-0.475332;-47.6902;47.6926;-0.00281033;0.0384736;0.0228762
747;678;-0.519999;-47.7776;47.7804;-0.00120314;0.038778;0.0201106
770;678;-0.530887;-47.8177;47.8207;-0.00121008;0.0385763;0.0187954
793;678;-0.575786;-47.8682;47.8716;-0.00045241;0.0353235;0.0160225
816;678;-0.551725;-47.8633;47.8665;-0.000440531;0.0361352;0.0146141
839;678;-0.596058;-47.8504;47.8541;-0.00124776;0.0342886;0.0136783
862;678;-0.609164;-47.8876;47.8915;-0.00185236;0.0379985;0.0122364
885;678;-0.681347;-47.8603;47.8651;-0.000999072;0.0334921;0.0120187
908;678;-0.655145;-47.8804;47.8849;0.000236824;0.0300835;0.00943837
931;678;-0.670457;-47.8779;47.8825;-0.000422585;0.0312684;0.00895846
954;678;-0.674625;-47.9386;47.9433;3.72879e-05;0.0330214;0.00768612
977;678;-0.668742;-47.8815;47.8862;-0.00349304;0.0283666;0.00630833
1000;678;-0.835646;-47.8645;47.8718;-0.00175637;0.0301702;0.00757371
1023;678;-0.749678;-47.9629;47.9688;0.000824458;0.0325067;0.00388052
1046;678;-0.79775;-47.8988;47.9054;-0.000753824;0.0318239;0.00268599
1069;678;-0.784427;-48.0366;48.043;-0.000236022;0.0373956;0.000969032
1092;678;-0.808816;-48.0371;48.0439;-0.000793885;0.0399418;0.00276136
1115;678;-0.82104;-47.9509;47.9579;-0.0024976;0.031899;0.000862005
1138;678;-0.923978;-47.9285;47.9374;-0.00198651;0.0323411;0.00066452
1161;678;-0.91253;-47.9931;48.0018;0.000910796;0.0329383;-0.00247833
1184;678;-0.882601;-48.1433;48.1514;0.000168743;0.0384471;-0.00186731
1207;678;-0.904768;-47.9903;47.9988;-0.000796862;0.0291444;-0.00284272
1230;678;-0.919509;-47.9955;48.0043;-0.000917127;0.03316;-0.00213635
1253;678;-0.947037;-47.9153;47.9246;-0.00021482;0.0285619;-0.00449892
1276;678;-0.929453;-47.9204;47.9294;-0.000975749;0.027291;-0.00911746
1299;678;-0.991988;-47.9792;47.9895;-0.00176223;0.0315578;-0.00896296
1322;678;-1.01066;-48.0031;48.0138;-0.000522791;0.0323265;-0.00940607
1345;678;-1.01605;-47.9573;47.9681;-0.00138818;0.0357891;-0.00894166
1368;678;-1.07471;-47.8882;47.9002;-0.00102483;0.0306127;-0.00906557
