x [pixel];y [pixel];x-displacement [pixel];y-displacement [pixel];Displacement [pixel];Transverse strain Exx - GL [S];Axial strain Eyy - GL [S];Shear strain Exy - GL [S]
655;655;0.607426;-66.5462;66.5489;-0.0188604;0.0913467;0.0416745
678;655;0.166269;-66.926;66.9262;-0.0156448;0.0687839;0.0361399
701;655;-0.123311;-67.2425;67.2426;-0.0104753;0.0599031;0.0312502
724;655;-0.319823;-67.3168;67.3176;-0.00747161;0.0485411;0.0316964
747;655;-0.468407;-67.342;67.3436;-0.0054552;0.0430244;0.0274746
770;655;-0.571682;-67.4624;67.4649;-0.00378883;0.047271;0.0233154
793;655;-0.643711;-67.5928;67.5959;-0.00176696;0.0474797;0.02414
816;655;-0.65313;-67.5561;67.5592;-0.00129548;0.0414372;0.0196346
839;655;-0.70335;-67.5657;67.5693;-0.00344468;0.0413206;0.0179341
862;655;-0.811866;-67.5815;67.5863;-0.00235103;0.0396759;0.0177274
885;655;-0.811627;-67.5502;67.5551;-0.00253848;0.0341915;0.014126
908;655;-0.928925;-67.6947;67.7011;-0.00494354;0.0386494;0.0127879
931;655;-1.03974;-67.6662;67.6742;-0.00159647;0.0420482;0.0157569
954;655;-1.00279;-67.511;67.5185;0.000976234;0.0300466;0.0142892
977;655;-0.995063;-67.5283;67.5357;-0.000245179;0.0294965;0.00660356
1000;655;-1.01447;-67.7028;67.7104;-0.0028491;0.0388013;0.00564015
1023;655;-1.12649;-67.6574;67.6668;-0.00331276;0.0327439;0.00595873
1046;655;-1.16713;-67.6582;67.6683;-0.00155726;0.0369376;0.00750298
1069;655;-1.19819;-67.6345;67.6451;0.00139841;0.0371884;0.00421077
1092;655;-1.10285;-67.6758;67.6848;0.00114545;0.0350472;0.00038912
1115;655;-1.14555;-67.6825;67.6922;-0.00341584;0.0338391;0.000911148
1138;655;-1.26026;-67.6384;67.6502;-0.00351758;0.0314136;0.000945672
1161;655;-1.30765;-67.7067;67.7193;-0.000742451;0.0323697;-0.00198887
1184;655;-1.29456;-67.7493;67.7617;-0.000886406;0.0406205;-0.0029735
1207;655;-1.34846;-67.6674;67.6809;0.000123897;0.0380716;-0.00496034
1230;655;-1.28887;-67.7335;67.7458;0.000586832;0.0330245;-0.00507954
1253;655;-1.32157;-67.7592;67.7721;-0.00333449;0.037779;-0.00683209
1276;655;-1.44262;-67.8343;67.8497;-0.0037186;0.0387959;-0.00825843
1299;655;-1.49298;-67.816;67.8325;-0.000668264;0.0442679;-0.00717268
1322;655;-1.47337;-67.8272;67.8432;-0.00304721;0.042646;-0.0109324
1345;655;-1.63348;-67.7104;67.7301;-0.00260289;0.0368491;-0.00931151
1368;655;-1.59343;-67.7011;67.7198;-0.000882324;0.0364065;-0.0129623
1391;655;-1.67411;-67.7566;67.7773;-3.37239e-05;0.0367485;-0.0141627
1414;655;-1.59499;-67.6805;67.6993;-0.00254062;0.0355424;-0.0152211
1437;655;-1.79147;-67.5811;67.6048;-0.00592901;0.030369;-0.0165589
1460;655;-1.86855;-67.6527;67.6785;-0.000994278;0.0383421;-0.0194684
1483;655;-1.83741;-67.7117;67.7366;-0.00164607;0.0454226;-0.0241146
1506;655;-1.94433;-67.6381;67.666;-0.00495088;0.0573553;-0.0255712
1529;655;-2.06615;-67.5124;67.544;-0.00388465;0.0593137;-0.0312562
1552;655;-2.12353;-67.5197;67.5531;-0.00843303;0.064797;-0.0378028
1575;655;-2.45584;-67.4063;67.4511;-0.0227811;0.0807668;-0.0313985
1598;655;-3.19399;-66.5571;66.6337;-0.0613521;0.0948383;-0.0243684
1621;655;-5.40563;-65.6636;65.8857;-0.0907808;0.125319;-0.0188243
655;678;2.98118;-64.6462;64.7149;-0.0314019;0.0964729;0.0251575
678;678;2.23153;-65.482;65.52;-0.0304717;0.0817116;0.0257096
701;678;1.53807;-65.9604;65.9784;-0.0219902;0.0707591;0.0264731
724;678;1.20163;-66.2743;66.2852;-0.0141868;0.0629531;0.029379
747;678;0.878549;-66.4107;66.4165;-0.0122049;0.0576403;0.0278828
770;678;0.63647;-66.4301;66.4332;-0.00780843;0.0548977;0.0245343
793;678;0.517724;-66.5536;66.5556;-0.00863395;0.0532391;0.0215161
816;678;0.237103;-66.6386;66.639;-0.00822458;0.0499143;0.0198143
839;678;0.137725;-66.6489;66.6491;-0.0051946;0.0471269;0.01786
862;678;-0.00251421;-66.7001;66.7001;-0.00518299;0.0490945;0.0165649
885;678;-0.101524;-66.7874;66.7875;-0.00595125;0.0454621;0.0137696
908;678;-0.277279;-66.8312;66.8318;-0.00667191;0.0484787;0.01507
931;678;-0.409502;-66.7269;66.7282;-0.00303328;0.0481544;0.0128522
954;678;-0.417023;-66.8373;66.8386;-0.00396724;0.0422575;0.010111
977;678;-0.592561;-66.8631;66.8657;-0.00585411;0.0433046;0.00921338
1000;678;-0.687105;-66.8293;66.8328;-0.0061104;0.0464907;0.00751941
1023;678;-0.874536;-66.9176;66.9233;-0.00317426;0.0450807;0.00699155
1046;678;-0.833354;-66.8261;66.8313;-0.00262614;0.0452088;0.00812662
1069;678;-0.99566;-66.7953;66.8027;-0.00491788;0.0425876;0.00296227
1092;678;-1.06017;-66.8834;66.8918;-0.00275813;0.0441416;-2.87217e-05
1115;678;-1.12287;-66.9169;66.9263;-0.00312291;0.0442353;-0.000460308
1138;678;-1.20407;-66.927;66.9378;-0.00475087;0.0443281;-0.00122733
1161;678;-1.34197;-66.9739;66.9873;-0.00537084;0.0447592;-0.000312984
1184;678;-1.45189;-66.8338;66.8496;-0.00525866;0.0454966;-0.000789869
1207;678;-1.5848;-66.809;66.8278;-0.00049731;0.0429059;-0.00633612
1230;678;-1.47503;-66.9868;67.0031;1.02775e-05;0.0437482;-0.00723979
1253;678;-1.58444;-66.9076;66.9264;-0.00691759;0.0455773;-0.00772412
1276;678;-1.79435;-66.9613;66.9853;-0.00525473;0.047358;-0.00658092
1299;678;-1.82687;-66.8218;66.8467;-0.00517229;0.0455969;-0.00802572
1322;678;-2.03298;-66.8729;66.9038;-0.00653333;0.0473456;-0.0120941
1345;678;-2.12843;-66.8831;66.9169;-0.00289352;0.0452362;-0.0127925
1368;678;-2.16628;-66.8853;66.9204;-0.00450713;0.0464601;-0.0151098
1391;678;-2.33626;-66.9356;66.9763;-0.00480768;0.0487247;-0.0156891
1414;678;-2.38797;-66.8903;66.9329;-0.00511416;0.0462607;-0.0179993
1437;678;-2.57213;-66.9058;66.9552;-0.00669833;0.0438591;-0.0181577
1460;678;-2.69721;-66.8015;66.856;-0.00830482;0.0474783;-0.0182412
1483;678;-2.95615;-66.7157;66.7812;-0.0115193;0.0531272;-0.0204751
1506;678;-3.23206;-66.3889;66.4675;-0.0132501;0.0580981;-0.0210616
1529;678;-3.57231;-66.233;66.3293;-0.0151282;0.0625702;-0.0285245
1552;678;-3.93398;-66.1419;66.2588;-0.019128;0.0730602;-0.0311282
1575;678;-4.46393;-65.6997;65.8512;-0.0308473;0.08957;-0.0220729
1598;678;-5.40335;-64.5679;64.7936;-0.0614347;0.0948616;-0.00917681
1621;678;-7.46563;-63.0249;63.4655;-0.083394;0.0918656;-0.000182934
655;701;4.88043;-62.486;62.6763;-0.0338319;0.0971193;0.0138089
678;701;4.06717;-63.463;63.5932;-0.0344931;0.0918364;0.0155986
701;701;3.23191;-64.2099;64.2912;-0.0246107;0.088462;0.0218357
724;701;2.90603;-64.6135;64.6788;-0.0200659;0.082828;0.0244891
747;701;2.295;-64.8415;64.8821;-0.0225435;0.0776914;0.0238099
770;701;1.85482;-65.0637;65.0901;-0.0155091;0.0709035;0.0218165
793;701;1.57406;-65.2566;65.2756;-0.0122751;0.0669375;0.0191871
816;701;1.28573;-65.3536;65.3663;-0.012111;0.0655065;0.0197943
839;701;1.013;-65.4773;65.4851;-0.00908488;0.0634373;0.01789
862;701;0.86588;-65.4052;65.4109;-0.00892556;0.0632184;0.0166462
885;701;0.600551;-65.5252;65.528;-0.0100062;0.0608374;0.0138938
908;701;0.403083;-65.5347;65.5359;-0.0096898;0.0609408;0.0146663
