Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0120","-0.0582"
"0.0440","0.0126","-0.0326"
"0.0520","0.0133","-0.0059"
"0.0600","0.0145","0.0204"
"0.0830","0.0175","0.0454"
"0.1000","0.0193","0.0722"
"0.1060","0.0203","0.0994"
"0.1110","0.0215","0.1310"
"0.1150","0.0228","0.1615"
"0.1180","0.0239","0.1871"
"0.1210","0.0251","0.2145"
"0.1240","0.0264","0.2432"
"0.1270","0.0279","0.2725"
"0.1300","0.0295","0.3021"
"0.1330","0.0311","0.3318"
"0.1360","0.0328","0.3611"
"0.1390","0.0346","0.3897"
"0.1420","0.0364","0.4172"
"0.1450","0.0382","0.4435"
"0.1480","0.0400","0.4686"
"0.1520","0.0425","0.4996"
"0.1560","0.0449","0.5276"
"0.1610","0.0478","0.5579"
"0.1670","0.0513","0.5871"
"0.1750","0.0557","0.6146"
"0.1880","0.0621","0.6410"
"0.2020","0.0684","0.6662"
"0.2140","0.0735","0.6924"
"0.2260","0.0785","0.7179"
"0.2390","0.0838","0.7432"
"0.2520","0.0889","0.7695"
"0.2630","0.0932","0.7964"
"0.2720","0.0967","0.8221"
"0.2810","0.1004","0.8496"
"0.2900","0.1041","0.8752"
"0.3010","0.1088","0.9016"
"0.3150","0.1146","0.9279"
"0.3290","0.1203","0.9546"
"0.3400","0.1248","0.9814"
"0.3500","0.1289","1.0089"
"0.3600","0.1331","1.0350"
"0.3730","0.1384","1.0604"
"0.3920","0.1457","1.0867"
"0.4060","0.1509","1.1137"
"0.4160","0.1549","1.1392"
"0.4260","0.1590","1.1660"
"0.4370","0.1637","1.1926"
"0.4500","0.1691","1.2181"
"0.4650","0.1750","1.2433"
"0.4770","0.1797","1.2692"
"0.4870","0.1838","1.2952"
"0.4980","0.1883","1.3210"
"0.5150","0.1952","1.3469"
"0.5330","0.2020","1.3726"
"0.5470","0.2073","1.3978"
"0.5580","0.2117","1.4241"
"0.5680","0.2158","1.4504"
"0.5800","0.2208","1.4771"
"0.5940","0.2267","1.5033"
"0.6070","0.2320","1.5301"
"0.6190","0.2369","1.5562"
"0.6320","0.2422","1.5822"
"0.6490","0.2489","1.6082"
"0.6690","0.2566","1.6346"
