x [pixel];y [pixel];x-displacement [pixel];y-displacement [pixel];Displacement [pixel];Transverse strain Exx - GL [S];Axial strain Eyy - GL [S];Shear strain Exy - GL [S]
632;609;-4.33094;-101.201;101.294;-0.00897307;0.0362217;-0.018195
655;609;-4.73491;-104.189;104.296;-0.00743325;0.0533112;0.00901575
678;609;-4.81053;-104.727;104.838;0.000726013;0.0557534;0.0325754
701;609;-4.70515;-104.766;104.872;0.00174725;0.0644828;0.0305617
724;609;-4.73085;-104.968;105.075;-0.00112185;0.0718592;0.0290525
747;609;-4.75721;-104.964;105.072;0.00195017;0.0762731;0.0316981
770;609;-4.64156;-104.794;104.897;0.000603055;0.0696099;0.0285241
793;609;-4.72971;-104.819;104.926;-0.000397733;0.0710278;0.0279324
816;609;-4.65991;-104.726;104.829;0.00595282;0.0640819;0.0246638
839;609;-4.45687;-104.687;104.782;0.00510144;0.0613712;0.0193695
862;609;-4.42588;-104.782;104.875;0.00230932;0.0690423;0.0184185
885;609;-4.3508;-104.634;104.724;0.00281053;0.0639938;0.0160581
908;609;-4.29684;-104.703;104.792;0.00157443;0.0697021;0.0104875
931;609;-4.27977;-104.985;105.072;0.00386596;0.0818983;0.0146529
954;609;-4.11935;-104.704;104.785;0.00336042;0.0757856;0.0167535
977;609;-4.12736;-104.565;104.647;-0.000157043;0.0705088;0.010193
1000;609;-4.12657;-104.705;104.786;-0.000544575;0.0783549;0.00771852
1023;609;-4.15265;-104.713;104.795;0.00133733;0.0770885;0.01156
1046;609;-4.06545;-104.525;104.604;0.0077455;0.0751043;0.00825194
1069;609;-3.79784;-104.816;104.885;0.00345175;0.0954121;0.00462041
1092;609;-3.90706;-104.628;104.701;-0.000724844;0.087589;0.0135446
1115;609;-3.83222;-104.509;104.58;0.00414225;0.0720725;0.00687296
1138;609;-3.71725;-104.45;104.516;0.00420282;0.0743869;0.00243217
1161;609;-3.63937;-104.423;104.486;-0.000229358;0.0745321;0.00217219
1184;609;-3.72841;-104.214;104.281;-0.00178931;0.071715;0.00143436
1207;609;-3.72177;-104.384;104.45;0.00583686;0.0804135;-0.00198541
1230;609;-3.46106;-104.399;104.457;0.00731011;0.0734373;-0.00154711
1253;609;-3.38694;-104.243;104.298;0.000782512;0.0777366;-0.00024649
1276;609;-3.42614;-104.086;104.143;0.00126641;0.0769885;-0.00526942
1299;609;-3.32896;-104.095;104.148;0.00210411;0.0708396;-0.00848817
1322;609;-3.32982;-103.904;103.957;0.00831419;0.0618669;-0.0130733
1345;609;-2.94883;-104.358;104.4;0.00313165;0.0825746;-0.0225273
1368;609;-3.1867;-104.16;104.209;-0.00119506;0.0743525;-0.0115221
1391;609;-3.00386;-104.312;104.355;-0.00101058;0.0828723;-0.0183684
1414;609;-3.23321;-104.156;104.206;-0.000299313;0.0786271;-0.0174773
1437;609;-3.01793;-104.479;104.523;0.00549928;0.100489;-0.0220343
1460;609;-2.981;-104.231;104.274;0.00470901;0.0879019;-0.0153263
1483;609;-2.80744;-103.759;103.797;-0.00055168;0.0719566;-0.0211706
1506;609;-3.01243;-103.486;103.529;0.000444195;0.0622969;-0.0254794
1529;609;-2.78804;-103.451;103.488;0.00415437;0.0621456;-0.0411715
1552;609;-2.82203;-103.656;103.694;-0.00152115;0.0866979;-0.0507047
1575;609;-2.85852;-103.655;103.694;-0.0168119;0.107358;-0.0450514
1598;609;-3.60904;-102.857;102.921;-0.0314972;0.108496;-0.035958
632;632;-2.0481;-100.492;100.513;-0.0108807;0.0794889;-0.00522334
655;632;-2.4499;-103.102;103.131;-0.0184794;0.103823;0.0191027
678;632;-3.00956;-103.546;103.59;-0.0156022;0.0935498;0.0420038
701;632;-3.17412;-103.376;103.425;-0.00601527;0.0888583;0.0395991
724;632;-3.28729;-103.413;103.466;-0.00479358;0.0937617;0.0360334
747;632;-3.39521;-103.309;103.365;-0.00260238;0.0941139;0.0343955
770;632;-3.40736;-103.276;103.332;-0.00185829;0.0870179;0.0304363
793;632;-3.48078;-103.271;103.33;-0.00421563;0.0876952;0.0283785
816;632;-3.60171;-103.319;103.382;-0.00130247;0.0844231;0.0261144
839;632;-3.54078;-103.334;103.394;-0.000153956;0.0858624;0.0232852
862;632;-3.60883;-103.259;103.322;-0.00249158;0.0892099;0.023034
