Time,Displacement,Force
(s),(mm),(N)
"0.0000","-0.0049","0.0088"
"0.0420","-0.0043","0.0348"
"0.0520","-0.0036","0.0609"
"0.0580","-0.0028","0.0905"
"0.0630","-0.0019","0.1174"
"0.0730","-0.0001","0.1429"
"0.1070","0.0043","0.1681"
"0.1120","0.0052","0.1946"
"0.1160","0.0061","0.2235"
"0.1190","0.0069","0.2493"
"0.1220","0.0079","0.2784"
"0.1250","0.0090","0.3103"
"0.1280","0.0102","0.3447"
"0.1310","0.0116","0.3808"
"0.1340","0.0130","0.4176"
"0.1370","0.0146","0.4543"
"0.1400","0.0163","0.4903"
"0.1430","0.0181","0.5245"
"0.1460","0.0200","0.5563"
"0.1490","0.0218","0.5850"
"0.1520","0.0237","0.6102"
"0.1560","0.0263","0.6378"
"0.1610","0.0294","0.6628"
"0.1740","0.0368","0.6880"
"0.2090","0.0529","0.7134"
"0.2230","0.0589","0.7387"
"0.2370","0.0646","0.7638"
"0.2490","0.0696","0.7898"
"0.2600","0.0742","0.8167"
"0.2710","0.0788","0.8418"
"0.3030","0.0915","0.8671"
"0.3170","0.0970","0.8922"
"0.3260","0.1006","0.9182"
"0.3350","0.1044","0.9452"
"0.3460","0.1091","0.9706"
"0.3670","0.1177","0.9967"
"0.3810","0.1233","1.0221"
"0.3920","0.1278","1.0482"
"0.4070","0.1341","1.0741"
"0.4430","0.1480","1.0994"
"0.4550","0.1525","1.1248"
"0.4650","0.1566","1.1499"
"0.4760","0.1612","1.1767"
"0.4910","0.1675","1.2024"
"0.5140","0.1767","1.2283"
"0.5310","0.1835","1.2548"
"0.5460","0.1896","1.2799"
"0.5680","0.1983","1.3053"
"0.5900","0.2067","1.3319"
"0.6030","0.2119","1.3575"
"0.6150","0.2168","1.3836"
"0.6320","0.2239","1.4089"
"0.6520","0.2320","1.4345"
"0.6660","0.2377","1.4600"
"0.6820","0.2443","1.4860"
"0.7160","0.2575","1.5117"
"0.7300","0.2630","1.5385"
"0.7430","0.2683","1.5638"
"0.7670","0.2779","1.5894"
"0.7870","0.2857","1.6147"
"0.7990","0.2905","1.6411"
"0.8140","0.2968","1.6670"
"0.8580","0.3136","1.6939"
"0.8690","0.3179","1.7198"
"0.8790","0.3221","1.7449"
"0.8920","0.3277","1.7712"
"0.9260","0.3413","1.7965"
"0.9440","0.3483","1.8228"
"0.9620","0.3557","1.8481"
"0.9880","0.3659","1.8738"
"1.0070","0.3733","1.8997"
"1.0220","0.3794","1.9258"
"1.0400","0.3867","1.9509"
"1.0630","0.3961","1.9774"
"1.0780","0.4023","2.0025"
"1.1170","0.4177","2.0281"
"1.1350","0.4246","2.0545"
"1.1460","0.4291","2.0799"
"1.1610","0.4354","2.1059"
"1.1970","0.4495","2.1323"
"1.2090","0.4544","2.1574"
"1.2230","0.4604","2.1836"
"1.2700","0.4786","2.2089"
"1.2840","0.4840","2.2350"
"1.2980","0.4898","2.2611"
"1.3210","0.4993","2.2868"
"1.3410","0.5074","2.3129"
"1.3560","0.5135","2.3390"
"1.3960","0.5293","2.3646"
"1.4150","0.5368","2.3911"
"1.4300","0.5429","2.4163"
"1.4540","0.5526","2.4415"
"1.4720","0.5599","2.4677"
"1.4860","0.5657","2.4931"
"1.5390","0.5862","2.5188"
"1.5520","0.5914","2.5462"
"1.5630","0.5960","2.5712"
"1.5970","0.6097","2.5967"
"1.6160","0.6171","2.6233"
"1.6310","0.6233","2.6488"
"1.6780","0.6416","2.6743"
"1.6910","0.6466","2.7004"
"1.7040","0.6520","2.7272"
"1.7250","0.6608","2.7531"
"1.7500","0.6709","2.7783"
"1.7920","0.6874","2.8035"
"1.8120","0.6951","2.8300"
"1.8240","0.7000","2.8554"
"1.8380","0.7061","2.8819"
"1.8710","0.7198","2.9072"
"1.8950","0.7294","2.9329"
"1.9390","0.7461","2.9588"
"1.9560","0.7526","2.9847"
"1.9680","0.7576","3.0098"
"1.9840","0.7645","3.0357"
"2.0200","0.7790","3.0614"
"2.0360","0.7855","3.0869"
"2.0810","0.8032","3.1120"
"2.1000","0.8105","3.1388"
"2.1140","0.8162","3.1639"
"2.1350","0.8249","3.1899"
"2.1550","0.8331","3.2153"
"2.1750","0.8414","3.2408"
"2.2250","0.8607","3.2667"
"2.2400","0.8668","3.2934"
"2.2580","0.8743","3.3190"
"2.2920","0.8876","3.3453"
"2.3080","0.8942","3.3711"
"2.3560","0.9130","3.3963"
"2.3700","0.9186","3.4215"
"2.3840","0.9244","3.4478"
"2.4240","0.9403","3.4729"
"2.4440","0.9482","3.4987"
"2.4670","0.9577","3.5238"
"2.4990","0.9703","3.5489"
"2.5210","0.9790","3.5744"
"2.5440","0.9883","3.5996"
"2.5650","0.9969","3.6247"
"2.5850","1.0052","3.6498"
"2.6240","1.0205","3.6755"
"2.6440","1.0285","3.7006"
"2.6700","1.0390","3.7259"
"2.6970","1.0495","3.7519"
"2.7130","1.0561","3.7775"
"2.7680","1.0777","3.8032"
"2.7840","1.0840","3.8286"
"2.7980","1.0898","3.8537"
"2.8200","1.0990","3.8789"
"2.8460","1.1095","3.9040"
"2.8930","1.1280","3.9296"
"2.9140","1.1362","3.9551"
"2.9300","1.1427","3.9811"
"2.9540","1.1525","4.0065"
"2.9770","1.1619","4.0322"
"3.0360","1.1851","4.0583"
"3.0500","1.1905","4.0848"
"3.0610","1.1951","4.1100"
"3.1000","1.2109","4.1353"
"3.1220","1.2196","4.1612"
"3.1420","1.2279","4.1863"
"3.1870","1.2450","4.2124"
"3.2000","1.2503","4.2393"
"3.2190","1.2583","4.2644"
"3.2520","1.2718","4.2897"
"3.2820","1.2838","4.3148"
"3.3170","1.2973","4.3405"
"3.3330","1.3039","4.3658"
"3.3620","1.3158","4.3913"
"3.3850","1.3252","4.4179"
"3.4030","1.3327","4.4437"
"3.4600","1.3543","4.4691"
"3.4720","1.3594","4.4961"
"3.5020","1.3718","4.5212"
"3.5280","1.3820","4.5474"
"3.5520","1.3920","4.5726"
"3.5950","1.4087","4.5988"
"3.6120","1.4156","4.6243"
"3.6390","1.4266","4.6493"
"3.6630","1.4363","4.6750"
"3.7090","1.4547","4.7004"
"3.7280","1.4621","4.7263"
"3.7450","1.4692","4.7521"
"3.7900","1.4870","4.7776"
"3.8080","1.4944","4.8034"
"3.8590","1.5139","4.8292"
"3.8720","1.5190","4.8563"
"3.8850","1.5245","4.8814"
"3.9290","1.5425","4.9070"
"3.9510","1.5514","4.9328"
"3.9980","1.5696","4.9587"
"4.0140","1.5760","4.9840"
"4.0390","1.5864","5.0093"
"4.0640","1.5965","5.0346"
"4.0860","1.6055","5.0599"
"4.1350","1.6247","5.0857"
"4.1520","1.6318","5.1115"
"4.1950","1.6489","5.1372"
"4.2120","1.6557","5.1631"
